season,episode,title,date,genre,director,writers,stars,content
3,22,The Staircase Implementation,"Mon, May 17, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco","The hitherto unseen characters of Joyce Kim, a North Korean spy who dated Leonard, and the pairs' original neighbor, Louie/Louise, the ""two hundred pound transvestite with a skin condition"" are seen."
3,23,The Lunar Excitation,"Mon, May 24, 2010","Comedy, Romance",Peter Chakos,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco","First appearance of Amy Farrah Fowler (Mayim Bialik). The character is loosely based on Gilda, a character that was cut after the failed first pilot of the show."
4,1,The Robotic Manipulation,"Thu, Sep 23, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","According to Mayim Bialik, Amy wasn't conceived as a scientist yet in the previous episode, The Lunar Excitation (2010). During the gap between seasons 3 and 4, Bill Prady decided that Amy should be a neurobiologist, since Bialik has a PhD in neuroscience and could thus portray the character more accurately as the show's neuroscience consultant."
4,2,The Cruciferous Vegetable Amplification,"Thu, Sep 30, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",The song played by Sheldon in the car is Greensleeves.
4,3,The Zazzy Substitution,"Thu, Oct 7, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco","Jim Parsons has revealed in an interview that he, much like Sheldon, is allergic to cats."
4,4,The Hot Troll Deviation,"Thu, Oct 14, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco","Sheldon describes Raj's desk as a ""brobdingnagian monstrosity"", explaining that it is a British idiom. He's referring to the imaginary giants' kingdom of Brobdingnag in Jonathan's Swift's book ""Gulliver's Travels"". Brobdingnagian means excessively large."
4,5,The Desperation Emanation,"Thu, Oct 21, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Due to a horseback riding accident where she broke one of her legs, Kaley Cuoco is absent from this episode and the next, and is listed as credit-only."
4,6,The Irish Pub Formulation,"Thu, Oct 28, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco","This episode and the previous one, The Desperation Emanation (2010), are the only episodes in which Penny doesn't appear, due to Kaley Cuoco's horseback riding accident where she broke her leg."
4,7,The Apology Insufficiency,"Thu, Nov 4, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Kaley Cuoco appears in two scenes: in one, she is filmed standing behind the bar at the Cheesecake Factory, and in the second, she sits in the gang's living room behind a table. This was to hide her broken leg due to a horseback riding accident."
4,8,The 21-Second Excitation,"Thu, Nov 11, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco","The yelp that Kaley Cuoco blurts out when Mayim Bialik hits her with a pillow was genuine, as she wasn't expecting to actually be hit with it."
4,9,The Boyfriend Complexity,"Thu, Nov 18, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The piece of paper that clings to Sheldon's head immediately after throwing the Penny-specific Roommate Agreement section in the air was completely unintentional. Jim Parsons and Johnny Galecki can be seen on the DVD set's gag reel smiling at this happening; they completed the scene, and the part where they broke character was edited out."
4,10,The Alien Parasite Hypothesis,"Thu, Dec 9, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco","Not only is the number 73 important marking the year actor Jim Parsons was born, this is also the 73rd episode of the show."
4,11,The Justice League Recombination,"Thu, Dec 16, 2010","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","In Sheldon's incredibly short trip to the Grand Canyon at the end, the music accompanying him is the interlude ""Flight of the Bumblebee"" from the opera ""The Tale of Tsar Saltan"" by Nikolai Rimsky-Korsakov."
4,12,The Bus Pants Utilization,"Thu, Jan 6, 2011","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The first melody that Sheldon tries to play on his theremin after saying how much he loved the use of this instrument in the opening tune of Star Trek (1966) is, in fact, said opening tune. It should be noted though that the theremin wasn't actually used in it; what sounds like a theremin was actually a soprano vocalizing."
4,13,The Love Car Displacement,"Thu, Jan 20, 2011","Comedy, Romance",Anthony Rich,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco","When Sheldon calls Howard in the car with the words ""Red Leader to Red Five"" he is imitating one of the X-Wing pilots in the film Star Wars (1977). Red Five was Luke Skywalker's X-Wing call-sign in the movie."
4,14,The Thespian Catalyst,"Thu, Feb 3, 2011","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","When Sheldon is doing improv with Penny, he says he sees a sign that reads ""Camarillo State Mental Hospital"". While this was an actual hospital, it closed in 1997, and this episode was aired in February 2011. The hospital has since been redeveloped and is now California State University Channel Islands."
4,15,The Benefactor Factor,"Thu, Feb 10, 2011","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco","When Sheldon says, ""Oh, the humanities!"", it is a play on Herb Morrison's 1937 radio account of the destruction of the airship Hindenburg. Part of Morrison's report included the phrase, ""Oh, the humanity!"""
4,16,The Cohabitation Formulation,"Thu, Feb 17, 2011","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",First appearance of Bernadette's apartment.
4,17,The Toast Derivation,"Thu, Feb 24, 2011","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","LeVar Burton makes the fifth person from Star Trek franchise to be on the show. The others are George Takei, Wil Wheaton, Brian George, and Mark Harelik."
